Year,Month,Illnesses,Hospitalizations,Deaths
2013,4,12071,233.0,14.0
2013,5,4855,171.0,10.0
2013,6,4511,281.0,15.0
2013,7,3655,178.0,4.0
2013,8,1971,152.0,3.0
2013,9,3144,124.0,17.0
2013,10,3363,120.0,2.0
2013,11,5739,115.0,9.0
2013,12,13543,159.0,18.0
2014,1,16738,272.0,21.0
2014,2,15032,374.0,40.0
2014,3,23027,412.0,35.0
2014,4,13421,241.0,15.0
2014,5,6920,268.0,9.0
2014,6,3588,249.0,21.0
2014,7,2792,111.0,5.0
2014,8,2374,183.0,12.0
2014,9,2164,128.0,6.0
2014,10,3477,125.0,16.0
2014,11,7048,107.0,8.0
2014,12,11736,176.0,20.0
2015,1,16407,285.0,23.0
2015,2,23361,456.0,24.0
2015,3,19229,423.0,27.0
2015,4,9036,232.0,13.0
2015,5,5099,196.0,16.0
2015,6,4433,286.0,8.0
2015,7,3947,364.0,22.0
2015,8,3237,75.0,2.0
2015,9,6066,115.0,2.0
2015,10,5915,186.0,2.0
2015,11,5215,103.0,8.0
2015,12,8655,160.0,9.0
2016,1,16084,395.0,17.0
2016,2,19599,284.0,19.0
2016,3,14196,371.0,13.0
2016,4,8481,208.0,13.0
2016,5,6305,215.0,4.0
2016,6,3575,268.0,6.0
2016,7,4646,243.0,6.0
2016,8,2924,146.0,5.0
2016,9,3208,142.0,8.0
2016,10,4642,170.0,3.0
2016,11,7802,269.0,23.0
2016,12,18386,306.0,30.0
2017,1,25153,457.0,29.0
2017,2,15118,368.0,17.0
2017,3,10372,358.0,15.0
2017,4,8125,149.0,6.0
2017,5,4337,189.0,10.0
2017,6,2986,152.0,6.0
2017,7,2689,155.0,5.0
2017,8,2706,200.0,10.0
2017,9,2251,204.0,10.0
2017,10,5192,164.0,7.0
2017,11,8517,278.0,13.0
2017,12,16840,294.0,17.0
2018,1,20548,449.0,28.0
2018,2,8178,241.0,16.0
2018,3,8941,370.0,17.0
2018,4,8502,334.0,13.0
2018,5,5241,255.0,4.0
2018,6,4907,274.0,8.0
2018,7,4561,228.0,5.0
2018,8,3932,284.0,4.0
2018,9,3948,140.0,9.0
2018,10,3465,177.0,6.0
2018,11,7942,268.0,18.0
2018,12,15440,256.0,22.0
2019,1,15737,424.0,26.0
2019,2,11590,321.0,21.0
2019,3,13798,415.0,13.0
2019,4,7061,214.0,8.0
2019,5,4860,272.0,9.0
2019,6,3734,164.0,9.0
2019,7,2770,137.0,1.0
2019,8,2738,134.0,4.0
2019,9,2824,185.0,5.0
2019,10,3229,107.0,5.0
2019,11,7326,328.0,7.0
2019,12,13711,244.0,22.0
2020,1,14510,302.0,27.0
2020,2,10226,353.0,15.0
2020,3,4483,169.0,11.0
2020,4,842,74.0,2.0
2020,5,1165,114.0,2.0
2020,6,1597,233.0,0.0
2020,7,707,67.0,1.0
2020,8,569,141.0,10.0
2020,9,315,39.0,1.0
2020,10,283,47.0,3.0
2020,11,771,91.0,0.0
2020,12,1191,295.0,5.0
2021,1,899,71.0,6.0
2021,2,3102,126.0,13.0
2021,3,4743,210.0,6.0
2021,4,6389,156.0,13.0
2021,5,5219,421.0,5.0
2021,6,2723,111.0,3.0
2021,7,2045,134.0,4.0
2021,8,1392,73.0,2.0
2021,9,1446,114.0,0.0
2021,10,1421,76.0,3.0
2021,11,2212,76.0,8.0
2021,12,3676,125.0,5.0
2022,1,4753,126.0,8.0
2022,2,11094,362.0,18.0
2022,3,15264,317.0,14.0
2022,4,10144,240.0,15.0
2022,5,4182,183.0,6.0
2022,6,1367,104.0,6.0
2022,7,1519,189.0,0.0
2022,8,1642,58.0,1.0
2022,9,2130,153.0,6.0
2022,10,2014,47.0,3.0
2022,11,3151,109.0,0.0
2022,12,3893,136.0,5.0
2023,1,9294,161.0,6.0
2023,2,16397,294.0,28.0
2023,3,16636,436.0,14.0
2023,4,8851,308.0,8.0
2023,5,5172,190.0,3.0
2023,6,2510,114.0,2.0
2023,7,2431,170.0,4.0
2023,8,2205,216.0,5.0
2023,9,3368,201.0,1.0
2023,10,4087,225.0,8.0
2023,11,5343,139.0,2.0
2023,12,6911,84.0,6.0
